timestamp_local,timestamp_utc,month,zen,azi,dni,dhi,ghi,T_ambient,tilt_analytic_2D,Isc_2D,Voc_2D,Imp_2D,Vmp_2D,Pmax_2D,FF_2D,tilt_fixed_3D,Isc_3D,Imp_3D,Vmp_3D,Voc_3D,Pmax_3D,FF_3D
2024-01-21 09:00:00+05:30,2024-01-21 03:30:00+00:00,Jan,61.394731722075406,121.713813649467,810.390306841529,79.1372617691959,467.0912070001436,23.01,43.94835945719098,8.8,3.815,8.34,3.2187,26.8415,0.7999,31,12.911064504662932,12.213853535570326,3.241603206412825,3.815,39.59246678356139,0.8038147437361075
2024-01-21 10:00:00+05:30,2024-01-21 04:30:00+00:00,Jan,49.60013217996123,131.0787912735583,896.4507963600066,98.92917091002471,679.9112942615437,25.19,37.67133922256746,11.79,3.815,11.14,3.2416,36.1226,0.8029,31,15.94757122489577,15.065611253988424,3.2874749498997997,3.815,49.52781960241545,0.8140669369817215
2024-01-21 11:00:00+05:30,2024-01-21 05:30:00+00:00,Jan,39.80634040448528,145.55234515799384,937.49052473886,112.08344762980892,832.2606374068637,26.68,34.4976869549401,13.92,3.815,13.14,3.2416,42.579,0.8017,31,17.72313257703238,16.75806052778761,3.302765531062124,3.815,55.34794467862966,0.818590065467467
2024-01-21 12:00:00+05:30,2024-01-21 06:30:00+00:00,Jan,33.817043175240855,166.967212829534,954.7326513864265,118.7600809981169,911.959445234331,27.49,33.129164835216784,15.03,3.815,14.16,3.2416,45.9102,0.8005,31,18.56034044955791,17.5423920496369,3.3104108216432864,3.815,58.072524478627145,0.8201442138417999
2024-01-21 13:00:00+05:30,2024-01-21 07:30:00+00:00,Jan,33.731267211726234,192.44799445889848,954.9463951492273,118.84816686305248,913.0199269083065,28.22,33.10472968197215,15.05,3.815,14.18,3.2492,46.0653,0.8025,31,18.569619052840963,17.5510300615573,3.3180561122244487,3.815,58.235302571585244,0.822032142796069
2024-01-21 14:00:00+05:30,2024-01-21 08:30:00+00:00,Jan,39.58792151913887,214.04548335728109,938.2069751159471,112.3451081630925,835.3573117879627,28.51,34.41808083797005,13.96,3.815,13.16,3.2645,42.9627,0.8066,31,17.784858903976417,16.795130678290242,3.3257014028056107,3.815,55.855589657093404,0.823230921354251
2024-01-21 15:00:00+05:30,2024-01-21 09:30:00+00:00,Jan,49.30934654928739,228.6916940321556,897.969115349431,99.3603628643267,684.7899298130258,28.35,37.51354370602283,11.86,3.815,11.22,3.2722,36.6988,0.8114,31,16.016043691286622,15.141717956796056,3.3180561122244487,3.815,50.241069816125844,0.8222598626798315
2024-01-21 16:00:00+05:30,2024-01-21 10:30:00+00:00,Jan,61.06851327024257,238.16977243266786,813.6171576657616,79.75133236604688,473.3113128759903,27.78,43.65595779878117,8.88,3.815,8.41,3.2722,27.5227,0.8128,31,13.012137756701845,12.324676936097934,3.2874749498997997,3.815,40.51706669302977,0.8161966380779094
2024-02-21 09:00:00+05:30,2024-02-21 03:30:00+00:00,Feb,57.97897855779689,111.71398334432945,789.18879123225,96.3951823085149,514.8152433061044,23.55,30.60848594541745,8.2,3.815,7.77,3.2263,25.0629,0.8012,31,14.35191322156076,13.583434883378523,3.233957915831663,3.815,43.92825676528592,0.8023052372085948
2024-02-21 10:00:00+05:30,2024-02-21 04:30:00+00:00,Feb,44.814448563565925,120.21757223904888,873.7199534515992,118.08611475463772,737.878708140849,26.06,26.566689417801715,11.38,3.815,10.75,3.2492,34.9388,0.805,31,17.12964959109257,16.16257895449162,3.2798296593186373,3.815,53.01050582602083,0.8111831614348092
2024-02-21 11:00:00+05:30,2024-02-21 05:30:00+00:00,Feb,33.12638429338004,134.63780670300025,915.0129947942833,132.4652213775654,898.7488108134804,27.56,24.631227875044495,13.66,3.815,12.89,3.2492,41.8749,0.8034,31,18.742150594087768,17.6804500454753,3.2951202404809616,3.815,58.259208805658204,0.8147992431698776
